Question,People Promise / Theme,Sub,Further Sub,Notes
"How often, if at all, do you feel worn out at the end of your working day/shift?",We are safe and healthy,Burnout,,"Use these anchors when comments refer to emotional exhaustion, burnout, frustration, or depletion. Look for cues about chronic fatigue, dread, or emotional strain. Distinguish from “Workload” (task pressure) and “Illness” (physical health impacts). Prioritise Burnout when the core issue is emotional or psychological exhaustion rather than operational pressure. Typically routes to Wellbeing, OD, or senior leadership."
"How often, if at all, do you feel that every working hour is tiring for you?",We are safe and healthy,Burnout,,"Use these anchors when comments refer to emotional exhaustion, burnout, frustration, or depletion. Look for cues about chronic fatigue, dread, or emotional strain. Distinguish from “Workload” (task pressure) and “Illness” (physical health impacts). Prioritise Burnout when the core issue is emotional or psychological exhaustion rather than operational pressure. Typically routes to Wellbeing, OD, or senior leadership."
"How often, if at all, do you not have enough energy for family and friends during leisure time?",We are safe and healthy,Burnout,,"Use these anchors when comments refer to emotional exhaustion, burnout, frustration, or depletion. Look for cues about chronic fatigue, dread, or emotional strain. Distinguish from “Workload” (task pressure) and “Illness” (physical health impacts). Prioritise Burnout when the core issue is emotional or psychological exhaustion rather than operational pressure. Typically routes to Wellbeing, OD, or senior leadership."
I can eat nutritious and affordable food while I am working ,We are safe and healthy,Other,,"Use this anchor when comments refer to food availability, affordability, or access during shifts. Look for cues about canteen hours, cost, or lack of healthy options. Distinguish from “Cost of Living” unless the comment explicitly links food affordability to pay."
Have you experienced musculoskeletal problems (MSK) as a result of work activities?,We are safe and healthy,Negative experiences,Illness,"Use this anchor when comments refer to musculoskeletal pain, injury, or physical strain caused by work. Look for cues about manual handling, equipment, or repetitive strain. Distinguish from “Resources” unless equipment is the cause."
During the last 12 months have you felt unwell as a result of work related stress?,We are safe and healthy,Negative experiences,Illness,"Use this when comments refer to stress causing physical symptoms. Look for cues about headaches, sleep issues, or stress?related illness. Distinguish from “Burnout” unless the comment emphasises emotional exhaustion."
In the last three months have you ever come to work despite not feeling well enough to perform your duties?,We are safe and healthy,Negative experiences,Illness,"Use this anchor when comments refer to presenteeism, pressure to attend work, or guilt about sickness absence. Look for cues about culture, workload, or fear of repercussions. Distinguish from “Burnout” unless emotional exhaustion is the focus."
"Have you personally experienced physical violence at work from...? Patients / service users, their relatives or other members of the public",We are safe and healthy,Negative experiences,Abuse / Bullying,"Use these anchors when comments refer to violence, harassment, bullying, or sexual misconduct. Look for cues about safety, trauma, fear, or repeated negative behaviour. Distinguish from “Inclusion” (team respect) and “Safe to Speak Out” (fear of raising issues). Prioritise this sub?theme when the behaviour is abusive, targeted, or harmful. Typically routes to HR, safeguarding, or senior leadership."
Have you personally experienced physical violence at work from...? Managers,We are safe and healthy,Negative experiences,Abuse / Bullying,"Use these anchors when comments refer to violence, harassment, bullying, or sexual misconduct. Look for cues about safety, trauma, fear, or repeated negative behaviour. Distinguish from “Inclusion” (team respect) and “Safe to Speak Out” (fear of raising issues). Prioritise this sub?theme when the behaviour is abusive, targeted, or harmful. Typically routes to HR, safeguarding, or senior leadership."
Have you personally experienced physical violence at work from...? Other colleagues.,We are safe and healthy,Negative experiences,Abuse / Bullying,"Use these anchors when comments refer to violence, harassment, bullying, or sexual misconduct. Look for cues about safety, trauma, fear, or repeated negative behaviour. Distinguish from “Inclusion” (team respect) and “Safe to Speak Out” (fear of raising issues). Prioritise this sub?theme when the behaviour is abusive, targeted, or harmful. Typically routes to HR, safeguarding, or senior leadership."
"Have you personally experienced harassment, bullying or abuse at work from...? Patients / service users, their relatives or other members of the public",We are safe and healthy,Negative experiences,Abuse / Bullying,"Use these anchors when comments refer to violence, harassment, bullying, or sexual misconduct. Look for cues about safety, trauma, fear, or repeated negative behaviour. Distinguish from “Inclusion” (team respect) and “Safe to Speak Out” (fear of raising issues). Prioritise this sub?theme when the behaviour is abusive, targeted, or harmful. Typically routes to HR, safeguarding, or senior leadership."
"Have you personally experienced harassment, bullying or abuse at work from...? Managers.",We are safe and healthy,Negative experiences,Abuse / Bullying,"Use these anchors when comments refer to violence, harassment, bullying, or sexual misconduct. Look for cues about safety, trauma, fear, or repeated negative behaviour. Distinguish from “Inclusion” (team respect) and “Safe to Speak Out” (fear of raising issues). Prioritise this sub?theme when the behaviour is abusive, targeted, or harmful. Typically routes to HR, safeguarding, or senior leadership."
"Have you personally experienced harassment, bullying or abuse at work from...? Other colleagues.",We are safe and healthy,Negative experiences,Abuse / Bullying,"Use these anchors when comments refer to violence, harassment, bullying, or sexual misconduct. Look for cues about safety, trauma, fear, or repeated negative behaviour. Distinguish from “Inclusion” (team respect) and “Safe to Speak Out” (fear of raising issues). Prioritise this sub?theme when the behaviour is abusive, targeted, or harmful. Typically routes to HR, safeguarding, or senior leadership."
"Have you been the target of unwanted behaviour of a sexual nature in the workplace? From patients / service users, their relatives or other members of the public",We are safe and healthy,Negative experiences,Abuse / Bullying,"Use these anchors when comments refer to violence, harassment, bullying, or sexual misconduct. Look for cues about safety, trauma, fear, or repeated negative behaviour. Distinguish from “Inclusion” (team respect) and “Safe to Speak Out” (fear of raising issues). Prioritise this sub?theme when the behaviour is abusive, targeted, or harmful. Typically routes to HR, safeguarding, or senior leadership."
Have you been the target of unwanted behaviour of a sexual nature in the workplace? From staff / colleagues,We are safe and healthy,Negative experiences,Abuse / Bullying,"Use these anchors when comments refer to violence, harassment, bullying, or sexual misconduct. Look for cues about safety, trauma, fear, or repeated negative behaviour. Distinguish from “Inclusion” (team respect) and “Safe to Speak Out” (fear of raising issues). Prioritise this sub?theme when the behaviour is abusive, targeted, or harmful. Typically routes to HR, safeguarding, or senior leadership."
"In the last 12 months, have you had an appraisal, annual review, development review, or Knowledge and Skills Framework (KSF) development review?",We are always learning,Appraisals,,"Use this anchor when comments refer to whether appraisals happened, were missed, or were inconsistent. Look for cues about cancelled reviews, lack of follow?up, or not receiving a review at all. Distinguish from “Development” (opportunities) and “Line Management” (manager behaviour during the review)."
It helped me to improve how I do my job,We are always learning,Appraisals,,"Use this when comments refer to appraisals being useful, practical, or supportive of performance. Look for cues about feedback quality, clarity, or actionable guidance. Distinguish from “Valued” unless the comment explicitly links feeling valued to the appraisal."
It helped me agree clear objectives for my work,We are always learning,Appraisals,,"Use this anchor when comments refer to goal?setting, clarity of expectations, or lack of clear objectives. Look for cues about direction, alignment, or confusion about priorities. Distinguish from “Autonomy & Control” (decision?making) unless the comment explicitly links objectives to autonomy."
It left me feeling that my work is valued by my organisation,We are always learning,Appraisals,,"Use this anchor when comments refer to feeling valued as a result of the appraisal process. Look for cues about recognition, appreciation, or positive feedback. Distinguish from “Valued” under Recognised & Rewarded unless the comment explicitly ties the feeling to the appraisal experience. This anchor is useful when staff describe appraisals as affirming or demotivating."
This organisation offers me challenging work,We are always learning,Development,,"Use this anchor when comments refer to stretch opportunities, meaningful tasks, or lack of challenge. Look for cues about stagnation, boredom, or wanting more responsibility. Distinguish from “Workload” unless the comment explicitly links challenge to pressure."
There are opportunities for me to develop my career in this organisation,We are always learning,Development,,"Use this when comments refer to career progression, blocked pathways, or lack of opportunities. Look for cues about stagnation, limited roles, or unclear progression routes. Distinguish from “Diversity & Equality” unless the comment explicitly links progression barriers to discrimination. Typically routes to OD or Workforce Planning."
I have opportunities to improve me knowledge and skills,We are always learning,Development,,"Use this anchor when comments refer to training availability, skill development, or lack of learning opportunities. Look for cues about access, relevance, or outdated training. Distinguish from “Appraisals” unless the comment explicitly links development to the appraisal process."
I feel supported to develop my potential,We are always learning,Development,,"Use this when comments refer to encouragement, support, or barriers to personal growth. Look for cues about manager support, organisational investment, or feeling overlooked. Distinguish from “Valued” unless the comment explicitly links development to recognition."
I am able to access the right learning and development opportunities when I need to,We are always learning,Development,,"Use this anchor when comments refer to access issues, timing, availability, or barriers to training. Look for cues about workload preventing attendance, lack of funding, or training being oversubscribed. Distinguish from “Workload” unless the comment explicitly links workload to inability to attend training."
I am able to access clinical supervision opportunities when I need to,We are always learning,Development,,"Use this when comments refer to clinical supervision availability, quality, or frequency. Look for cues about reflective practice, professional support, or lack of protected time. Distinguish from “Line Management” unless the comment explicitly links supervision to managerial behaviour."
The opportunities for flexible working patterns,We work flexible,Flexible working,,"Use this anchor when comments refer to availability, fairness, or inconsistency of flexible working options. Look for cues about shift patterns, remote working, compressed hours, or requests being declined. Distinguish from “Support for Work?Life Balance” unless the comment explicitly links flexibility to personal life pressures. Use this when the focus is on the options themselves, not the impact."
My organisation is committed to helping me balance my work and home life,We work flexible,Support for work-life balance,,"Use this anchor when comments refer to organisational support (or lack of it) for balancing work with personal responsibilities. Look for cues about childcare, caring responsibilities, rigid scheduling, or lack of understanding. Distinguish from “Flexible Working” unless the comment explicitly refers to specific working patterns. Use this when the focus is on organisational commitment rather than specific arrangements."
I achieve a good balance between m work life and my home life,We work flexible,Support for work-life balance,,"Use this when comments refer to personal experience of balance or imbalance. Look for cues about exhaustion, spillover, or difficulty switching off. Distinguish from “Burnout” unless the comment emphasises emotional exhaustion rather than time balance."
I can approach my immediate manager to talk openly about flexible working,We work flexible,Support for work-life balance,,"Use this anchor when comments refer to manager openness, supportiveness, or barriers to discussing flexible working. Look for cues about fear of asking, inconsistent treatment, or dismissive responses. Distinguish from “Compassionate Leadership” unless the comment explicitly links the issue to flexible working. This anchor is useful when the comment is about managerial gatekeeping rather than organisational policy."
The team I work in has a set of shared objectives,We are a team,Team working,Team development,"Use this anchor when comments refer to shared goals, alignment, or lack of clarity about team direction. Look for cues about inconsistent priorities, unclear expectations, or teams pulling in different directions. Distinguish from “Line Management” unless the comment explicitly links the issue to managerial communication."
The team I work in often meets to discuss the team's effectiveness,We are a team,Team working,Team development,"Use this when comments refer to team meetings, reflective practice, or lack of time to discuss improvement. Look for cues about communication, collaboration, or missed opportunities to review performance. Distinguish from “Autonomy & Control” unless the comment explicitly links meetings to decision?making."
I receive the respect I deserve from colleagues at work,We are a team,Team working,Working relationships,"Use this anchor when comments refer to respect, civility, or interpersonal treatment within the team. Look for cues about kindness, dismissiveness, or feeling undervalued by peers. Distinguish from “Inclusion” (team belonging) and “Abuse/Bullying” (harmful or targeted behaviour). Use this when the issue is everyday respect rather than severe misconduct."
Team members understand each other's roles,We are a team,Team working,Working relationships,"Use this when comments refer to role clarity within the team, misunderstandings about responsibilities, or friction caused by unclear boundaries. Look for cues about duplication, gaps, or confusion. Distinguish from “Autonomy & Control” unless the comment explicitly links role clarity to decision?making."
I enjoy working with the colleagues in my team,We are a team,Team working,Working relationships,"Use this anchor when comments refer to enjoyment, camaraderie, or positive team relationships. Look for cues about morale, support, or team spirit. Distinguish from “Motivation” unless the comment explicitly links enjoyment to job enthusiasm."
My team has enough freedom in how to do its work,We are a team,Team working,Working relationships,"Use this when comments refer to team?level autonomy, flexibility, or constraints. Look for cues about rigid processes, lack of discretion, or team?wide restrictions. Distinguish from “Autonomy & Control” (individual autonomy) unless the comment explicitly refers to the team."
In my team disagreements are dealth with constructively,We are a team,Team working,Working relationships,"Use this anchor when comments refer to conflict resolution, communication, or how disagreements are handled. Look for cues about tension, avoidance, or constructive dialogue. Distinguish from “Working Relationships” unless the comment explicitly refers to conflict rather than general interpersonal dynamics. Use this when the focus is on how conflict is managed, not whether it exists."
Teams within this organisation work well together to achieve their objectives,We are a team,Team working,Team development,"Use this when comments refer to cross?team collaboration, silo working, or organisational coordination. Look for cues about barriers between departments, poor communication, or strong collaboration. Distinguish from “Senior Management” unless the comment explicitly links cross?team issues to leadership decisions."
My immediate manager gives me clear feedback on my work,We are a team,Line management,,"Use this anchor when comments refer to feedback quality, clarity, or lack of constructive guidance. Look for cues about communication, expectations, or feeling unsupported. Distinguish from “Appraisals” unless the comment explicitly links feedback to the appraisal process."
My immediate manager asks for my opinion before making decisions that affect my work,We are a team,Line management,,"Use this when comments refer to consultation, involvement, or feeling excluded from decisions. Look for cues about top?down decisions, lack of voice, or poor communication. Distinguish from “Autonomy & Control” unless the comment explicitly links consultation to empowerment. Use this when the focus is on managerial behaviour rather than organisational processes."
My immediate manager takes a positive interest in my health and wellbeing,We are a team,Line management,,"Use this anchor when comments refer to manager support for wellbeing, empathy, or lack of care. Look for cues about compassion, check?ins, or dismissiveness. Distinguish from “Health & Safety Climate” unless the comment explicitly links wellbeing to organisational action."
I look forward to going to work,Staff engagement,Motivation,,"Use this anchor when comments refer to enthusiasm, enjoyment, or dread about coming to work. Look for cues about anticipation, morale, or emotional connection to the job. Distinguish from “Burnout” unless the comment emphasises exhaustion rather than motivation."
I am enthusiastic about my job,Staff engagement,Motivation,,"Use this when comments refer to passion, interest, or loss of enthusiasm. Look for cues about pride, stagnation, or feeling disconnected. Distinguish from “Valued” unless the comment explicitly links enthusiasm to recognition."
Time passes quickly when I am working,Staff engagement,Motivation,,"Use this anchor when comments refer to flow, engagement, or boredom. Look for cues about meaningful work, monotony, or feeling disengaged. Distinguish from “Workload” unless the comment explicitly links time pressure to task volume."
There are frequent opportunities for me to show initiative in my role,Staff engagement,Involvement,,"Use this anchor when comments refer to innovation, creativity, or being blocked from taking initiative. Look for cues about bureaucracy, rigid processes, or lack of empowerment. Distinguish from “Development” (career growth) and “Involvement” under Staff Engagement (participation rather than autonomy)."
I am able to make suggestions to improve the work of my team / department,Staff engagement,Involvement,,"Use this when comments refer to ideas being ignored, suggestions not acted on, or barriers to improvement. Look for cues about influence, voice, or organisational openness. Distinguish from “Raising Concerns” (safety or wrongdoing) and “Team Working” (collaboration)."
I am able to make improvements happen in my area of work,Staff engagement,Involvement,,"Use this when comments refer to empowerment, barriers to change, or lack of authority to act. Look for cues about process constraints, permissions, or organisational blockers. Distinguish from “Resources” (lack of tools) and “Workload” (time pressure)."
Care of patients / service users is my organisation's top priority,Staff engagement,Advocacy,,"Use this anchor when comments refer to organisational values, patient focus, or concerns that priorities have shifted away from care quality. Look for cues about standards, compassion, or organisational direction. Distinguish from “Advocacy” (which is about recommending the organisation) and “Workload” (pressure rather than values)."
I would recommend my organisation as a place to work,Staff engagement,Advocacy,,"Use this anchor when comments refer to organisational reputation, pride, or willingness to recommend. Distinguish from “Advocacy” under Staff Engagement (which is similar but more sentiment?driven). Use this when the comment is about organisational culture rather than personal experience."
If a friend or relative needed treatment I would be happy with the standard of care provided by this organisation,Staff engagement,Advocacy,,"Use this when comments refer to care quality, safety, or trust in services. Look for cues about standards, patient experience, or concerns about declining quality. Distinguish from “Health & Safety Climate” (staff safety) and “Burnout” (emotional strain)."
I often think about leaving this organisation,Morale,Thinking about leaving,,"Use this anchor when comments refer to wanting to leave, considering other jobs, or feeling pushed out. Look for cues about dissatisfaction, burnout, conflict, or lack of progression. Distinguish from “Motivation” unless the comment explicitly links motivation to leaving. Typically routes to senior leadership or Workforce Planning."
I will probably look for a job at a new organisation in the next 12 months,Morale,Thinking about leaving,,"Use this when comments refer to active job searching or planning to leave. Look for cues about intent, timelines, or reasons for wanting to move on. Distinguish from “Work Pressure” unless the comment explicitly links leaving to workload."
"As soon as I can find another job, I will leave this organisation",Morale,Thinking about leaving,,"Use this anchor when comments refer to current job applications, interviews, or imminent departure. Look for cues about urgency, frustration, or decisive action. Distinguish from “Thinking About Leaving” unless the comment explicitly refers to active steps."
I am able to meet all the conflicting demands on my time at work,Morale,Work pressure,Workload,"Use this when comments refer to competing priorities, time pressure, or unmanageable workloads. Look for cues about juggling tasks, unrealistic expectations, or constant firefighting. Distinguish from “Stressors” under Morale (emotional impact) and “Staffing Levels” (structural shortages)."
"I have adequate materials, supplies and equipment to do my work",Morale,Work pressure,Resources,"Use this when comments refer to equipment shortages, broken tools, lack of supplies, or poor infrastructure. Look for cues about delays, inefficiency, or safety risks. Distinguish from “Staffing Levels” and “Workload” unless the comment explicitly connects them."
There are enough staff at this organisation for me to do my job properly,Morale,Work pressure,Staffing Levels,"Use this anchor when comments refer to staffing shortages, unsafe staffing, vacancies, reliance on agency staff, or pressure caused by insufficient numbers. Look for cues about workload, patient safety, or team strain. Distinguish from “Workload” (task pressure) unless the comment explicitly links workload to staffing levels. Typically routes to Workforce Planning or Operational Leadership."
I always know what my work responsibilities are,Morale,Stressors,,"Use this anchor when comments refer to clarity of role, expectations, or confusion about responsibilities. Look for cues about unclear boundaries, mixed messages, or lack of direction. Distinguish from “Stressors” under Morale (emotional impact) and “Line Management” (manager behaviour)."
I am involved in deciding on changes introduced that affect my work area / team / department,Morale,Stressors,,"Use this anchor when comments refer to consultation, involvement in change, or decisions being imposed. Look for cues about top?down change, lack of communication, or feeling excluded. Distinguish from “Senior Management” (strategic decisions) and “Line Management” (local decisions)."
I have unrealistic time pressures,Morale,Stressors,,"Use this anchor when comments refer to deadlines, pace of work, or pressure to complete tasks too quickly. Look for cues about rushing, burnout risk, or feeling overwhelmed. Distinguish from “Staffing Levels” unless the comment explicitly links pressure to low staffing."
I have a choice in deciding how to do my work,Morale,Stressors,,"Use this anchor when comments refer to flexibility, autonomy, or rigid processes. Look for cues about being told exactly how to work, lack of discretion, or overly prescriptive procedures. Distinguish from “Flexible Working” (work?life balance) and “Stressors” (emotional impact)."
Relationships at work are strained,Morale,Stressors,,"Use this anchor when comments refer to tension, conflict, or deteriorating relationships within the workplace. Look for cues about strained communication, unresolved disagreements, or a negative team atmosphere. Distinguish from “Working Relationships” (role clarity or collaboration) and from “Abuse/Bullying” (severe or targeted behaviour). Use this when the emotional impact on morale is the primary focus."
I receive the respect I deserve from my colleagues at work,Morale,Stressors,,"Use this anchor when comments refer to civility, respect, or feeling undervalued by peers. Look for cues about tone, courtesy, or interpersonal treatment. Distinguish from “Inclusion” (belonging and team identity) and from “Abuse/Bullying” (harmful or hostile behaviour). Use this when the issue is everyday respect rather than severe misconduct."
My immediate manager encourages me at work,Morale,Stressors,,"Use this anchor when comments refer to motivation, encouragement, or emotional support from a manager. Look for cues about praise, reassurance, or feeling uplifted. Distinguish from “Compassionate Leadership” (empathy and listening) and “Line Management” (task?focused behaviour). Use this when the focus is on morale?boosting encouragement rather than practical support."
,Other,Covid,,"Use this anchor when comments refer to COVID?19 impacts that do not fit into existing themes. Look for cues about pandemic?related workload, long?term effects, service disruption, or organisational response. Distinguish from “Workload” (general pressure), “Health & Safety Climate” (safety processes), and “Burnout” (emotional exhaustion). Use this when COVID is the explicit context or cause."
,Other,Infrastructure,,"Use this anchor when comments refer to physical or digital infrastructure issues. Look for cues about buildings, estates, IT systems, equipment failures, or environmental conditions. Distinguish from “Resources” (tools needed for work) unless the comment explicitly refers to wider infrastructure problems. Use this when the focus is on organisational systems or physical environment rather than personal workload."
,Other,Senior management,Decision making,"Use this anchor when comments refer to strategic decisions made by senior leaders. Look for cues about direction, priorities, restructuring, or high?level choices. Distinguish from “Line Management” (local decisions) and “Autonomy & Control” (individual influence). Use this when the comment concerns organisation?wide decision?making."
,Other,Senior management,Engagement,"Use this anchor when comments refer to visibility, communication, or engagement from senior leaders. Look for cues about leaders being distant, absent, or disconnected from staff. Distinguish from “Team Working” (peer engagement) and “Compassionate Leadership” (manager empathy). Use this when the focus is on senior leadership presence and communication."
,Other,Senior management,Hierarchy,"Use this anchor when comments refer to rigid hierarchy, power imbalance, or difficulty accessing senior leaders. Look for cues about layers of management, bureaucracy, or feeling “at the bottom”. Distinguish from “Autonomy & Control” (influence over work) and “Raising Concerns” (psychological safety). Use this when hierarchy itself is the issue."
,Other,Senior management,Other,"Use this anchor when comments refer to senior leadership but do not clearly relate to decision?making, engagement, or hierarchy. Look for general statements about leadership culture, trust, or organisational direction. Distinguish from “Compassionate Culture” unless the comment explicitly refers to senior leaders."
,Other,NHS / government,,"Use this anchor when comments refer to national?level decisions, policies, funding, or political context. Look for cues about NHS England, government policy, national pay decisions, or system?wide pressures. Distinguish from “Senior Management” (local leadership) and “Pay” (personal financial concerns). Use this when the issue is external to the organisation."
,Other,Other,,"Use this anchor when comments do not fit any existing theme or sub?theme despite review. Look for cues that the comment is either too general, too mixed, or outside the scope of the People Promise and Engagement/Morale frameworks. Use sparingly and only after boundary checks. Distinguish from “Redacted/Insufficient” (DQMI exclusion) and from “Multiple Themes” (where coding to two categories is more appropriate)."
